Time (Sec);S1;S11;S2;
0.0;19159.9999;19160.0;19160.0;
0.9999999999999999;19159.992222399997;19159.9963392;19159.988761599998;
0.9999999999999999;19159.984644799995;19159.9963392;19159.988761599998;
1.0107626666666665;19159.984644799995;19159.9963392;19159.985100799997;
1.0107626666666665;19159.984644799995;19159.9963392;19159.977523199996;
1.0215253333333332;19159.984644799995;19159.992678399998;19159.977523199996;
1.9999999999999998;19159.984544799994;19159.992678399998;19159.977523199996;
1.9999999999999998;19159.969863199993;19159.992678399998;19159.977523199996;
2.0271026666666665;19159.969863199993;19159.992678399998;19159.970430399997;
2.0271026666666665;19159.969863199993;19159.992678399998;19159.955748799995;
2.054205333333333;19159.969863199993;19159.9855856;19159.955748799995;
2.9999999999999996;19159.96976319999;19159.9855856;19159.955748799995;
2.9999999999999996;19159.95508159999;19159.9855856;19159.955748799995;
3.027102666666666;19159.95508159999;19159.9855856;19159.948655999997;
3.027102666666666;19159.95508159999;19159.9855856;19159.933974399995;
3.0542053333333326;19159.95508159999;19159.9784928;19159.933974399995;
3.999999999999999;19159.95498159999;19159.9784928;19159.933974399995;
3.999999999999999;19159.94077359999;19159.9784928;19159.933974399995;
4.026013333333332;19159.94077359999;19159.9784928;19159.927110399996;
4.026013333333332;19159.94077359999;19159.9784928;19159.912902399996;
4.0520266666666656;19159.94077359999;19159.9716288;19159.912902399996;
4.999999999999999;19159.940673599987;19159.9716288;19159.912902399996;
4.999999999999999;19159.926465599987;19159.9716288;19159.912902399996;
5.026013333333332;19159.926465599987;19159.9716288;19159.906038399997;
5.026013333333332;19159.926465599987;19159.9716288;19159.891830399996;
5.0520266666666656;19159.926465599987;19159.964764800003;19159.891830399996;
5.999999999999999;19159.926365599986;19159.964764800003;19159.891830399996;
5.999999999999999;19159.912631199986;19159.964764800003;19159.891830399996;
6.0249239999999995;19159.912631199986;19159.964764800003;19159.885195199997;
6.0249239999999995;19159.912631199986;19159.964764800003;19159.871460799997;
6.049848;19159.912631199986;19159.958129600003;19159.871460799997;
7.0;19159.912531199985;19159.958129600003;19159.871460799997;
7.0;19159.897849599984;19159.958129600003;19159.871460799997;
7.027102666666667;19159.897849599984;19159.958129600003;19159.864368;
7.027102666666667;19159.897849599984;19159.958129600003;19159.849686399997;
7.054205333333334;19159.897849599984;19159.951036800005;19159.849686399997;
8.0;19159.897749599982;19159.951036800005;19159.849686399997;
8.0;19159.88306799998;19159.951036800005;19159.849686399997;
8.027102666666666;19159.88306799998;19159.951036800005;19159.8425936;
8.027102666666666;19159.88306799998;19159.951036800005;19159.827911999997;
8.054205333333332;19159.88306799998;19159.943944000006;19159.827911999997;
8.999999999999998;19159.88296799998;19159.943944000006;19159.827911999997;
